chr,start,end,gene_id,gene_type,gene_name
1,34554,36081,ENSG00000237613.2,protein_coding,FAM138A
1,69091,70008,ENSG00000186092.4,protein_coding,OR4F5
1,89551,91105,ENSG00000239945.1,lincRNA,RP11-34P13.8
1,160446,161525,ENSG00000241599.1,lincRNA,RP11-34P13.9
1,164405,173864,ENSG00000239368.1,lincRNA,RP11-34P13.13
1,367640,368634,ENSG00000235249.1,protein_coding,OR4F29
1,453633,460480,ENSG00000236601.1,lincRNA,RP4-669L17.2
1,459656,461954,ENSG00000236743.1,lincRNA,RP5-857K21.15
1,521369,523833,ENSG00000231709.1,lincRNA,RP5-857K21.1
1,523009,530148,ENSG00000235146.2,lincRNA,RP5-857K21.2
1,529833,532878,ENSG00000239664.1,lincRNA,RP5-857K21.3
1,562757,564390,ENSG00000223659.1,lincRNA,RP5-857K21.5
1,621059,622053,ENSG00000185097.2,protein_coding,OR4F16
1,677193,685396,ENSG00000235373.1,lincRNA,RP11-206L10.3
1,694412,700305,ENSG00000240618.1,lincRNA,RP11-206L10.5
1,696291,697369,ENSG00000229905.1,lincRNA,RP11-206L10.4
1,700237,714006,ENSG00000228327.2,lincRNA,RP11-206L10.2
1,714162,740255,ENSG00000237491.2,lincRNA,RP11-206L10.6
1,717325,720070,ENSG00000242937.1,lincRNA,RP11-206L10.7
1,721320,722513,ENSG00000197049.2,protein_coding,AL669831.1
1,736259,745541,ENSG00000230092.2,lincRNA,RP11-206L10.8
1,740179,745440,ENSG00000241768.1,lincRNA,RP11-206L10.9
1,745489,753092,ENSG00000240453.1,lincRNA,RP11-206L10.10
1,752751,755214,ENSG00000177757.1,lincRNA,FAM87B
1,761586,762902,ENSG00000225880.4,lincRNA,LINC00115
1,762988,794826,ENSG00000228794.2,lincRNA,RP11-206L10.11
1,803451,812283,ENSG00000230368.2,lincRNA,FAM41C
1,860260,879955,ENSG00000187634.6,protein_coding,SAMD11
1,861322,879533,ENSG00000262458.1,protein_coding,AL645608.1
